Factor Value: Organism Part,Parameter Value: Light Color,Parameter Value: Age at sample harvest
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Roots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
Plant Shoots,85% red and 15% blue,13 day
